c_exp, Result
0.0, 0.0
0.05, 0.24999999999999997
0.1, 0.49999999999999994
0.15000000000000002, 0.75
0.2, 0.9999999999999999
0.25, 1.25
0.30000000000000004, 1.5
0.35000000000000003, 1.7500000000000002
0.4, 1.9999999999999998
0.45, 2.25
0.5, 2.5
0.55, 2.75
0.6000000000000001, 3.0
0.65, 3.249999999999999
0.7000000000000001, 3.5000000000000004
0.75, 3.75
0.8, 3.9999999999999996
0.8500000000000001, 4.25
0.9, 4.5
0.9500000000000001, 4.75
1.0, 5.0
