p_sat_comp, Result
0.0, 0.25
0.05, 0.275
0.1, 0.30000000000000004
0.15000000000000002, 0.32499999999999996
0.2, 0.35
0.25, 0.375
0.30000000000000004, 0.4
0.35000000000000003, 0.42499999999999993
0.4, 0.45000000000000007
0.45, 0.475
0.5, 0.5
0.55, 0.525
0.6000000000000001, 0.55
0.65, 0.575
0.7000000000000001, 0.6000000000000001
0.75, 0.625
0.8, 0.6499999999999999
0.8500000000000001, 0.675
0.9, 0.7
0.9500000000000001, 0.7250000000000001
1.0, 0.75
