w_info,Adaptive Policy,Baseline Policy
0,5,6.5
0.05,5.15,6.5
0.1,5.3,6.5
0.15,5.45,6.5
0.2,5.6,6.5
0.25,5.75,6.5
0.3,5.9,6.5
0.35,6.05,6.5
0.4,6.2,6.5
0.45,6.35,6.5
0.5,6.5,6.5
0.55,6.65,6.5
0.6,6.8,6.5
0.65,6.95,6.5
0.7,7.1,6.5
0.75,7.25,6.5
0.8,7.4,6.5
0.85,7.55,6.5
0.9,7.7,6.5
0.95,7.85,6.5
1,8,6.5
