w_info,Adaptive Policy,Baseline Policy
0,0.5,0.56
0.05,0.506,0.56
0.1,0.512,0.56
0.15,0.518,0.56
0.2,0.524,0.56
0.25,0.53,0.56
0.3,0.536,0.56
0.35,0.542,0.56
0.4,0.548,0.56
0.45,0.554,0.56
0.5,0.56,0.56
0.55,0.566,0.56
0.6,0.572,0.56
0.65,0.578,0.56
0.7,0.584,0.56
0.75,0.59,0.56
0.8,0.596,0.56
0.85,0.602,0.56
0.9,0.608,0.56
0.95,0.614,0.56
1,0.62,0.56
